name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Rhodopseudomonas sp. P2A-2r	2991972	S	37	0	37	0.00009
Rhodopseudomonas palustris	1076	S	4	0	4	0.00001
Rhodopseudomonas boonkerdii	475937	S	1	0	1	0.00000
Afipia sp. GAS231	1882747	S	10	0	10	0.00002
Xanthobacter autotrophicus	280	S	54	0	54	0.00013
Starkeya sp. ORNL1	2709380	S	2	0	2	0.00000
Mesorhizobium sp. Pch-S	2082387	S	11	0	11	0.00003
Mesorhizobium sp. B2-1-8	2589967	S	8	0	8	0.00002
Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1	2493677	S	4	0	4	0.00001
Mesorhizobium loti	381	S	13	0	13	0.00003
Mesorhizobium terrae	2725666	S	9	0	9	0.00002
Mesorhizobium ciceri	39645	S	1	0	1	0.00000
Mesorhizobium onobrychidis	2775404	S	1	0	1	0.00000
Aquibium microcysteis	675281	S	6	0	6	0.00001
Bartonella krasnovii	2267275	S	29	0	29	0.00007
Methylobacterium currus	2051553	S	17	0	17	0.00004
Methylobacterium aquaticum	270351	S	7	0	7	0.00002
Methylobacterium phyllosphaerae	418223	S	1	0	1	0.00000
Microvirga sp. R24	2740529	S	3	0	3	0.00001
Martelella endophytica	1486262	S	12	0	12	0.00003
Aureimonas sp. AU20	1349819	S	1	0	1	0.00000
Phreatobacter stygius	1940610	S	11	0	11	0.00003
Roseibium aggregatum	187304	S	7	0	7	0.00002
Labrenzia sp. THAF82	2587861	S	1	0	1	0.00000
Brucella anthropi	529	S	1	0	1	0.00000
Brucella sp. 6810	2769351	S	1	0	1	0.00000
Acuticoccus sp. I52.16.1	2928472	S	1	0	1	0.00000
Ketogulonicigenium vulgare	92945	S	387	0	387	0.00093
Sulfitobacter sp. THAF37	2587855	S	13	0	13	0.00003
Oceanicola sp. D3	2587163	S	13	0	13	0.00003
Sagittula sp. P11	2009329	S	9	0	9	0.00002
Roseivivax marinus	1379903	S	3	0	3	0.00001
Octadecabacter arcticus	53946	S	2	0	2	0.00000
Dinoroseobacter shibae	215813	S	2	0	2	0.00000
Ruegeria sp. THAF33	2587853	S	1	0	1	0.00000
Paracoccus sanguinis	1545044	S	10	0	10	0.00002
Paracoccus sp. SMMA_5_TC	2654280	S	2	0	2	0.00000
Cereibacter sphaeroides	1063	S	12	0	12	0.00003
Neotabrizicola shimadae	2807096	S	2	0	2	0.00000
Thioclava electrotropha	1549850	S	1	0	1	0.00000
Polymorphum gilvum	991904	S	1	0	1	0.00000
Tabrizicola piscis	2494374	S	1	0	1	0.00000
Sphingomonas insulae	424800	S	17	0	17	0.00004
Sphingomonas morindae	1541170	S	15	0	15	0.00004
Sphingomonas melonis	152682	S	7	0	7	0.00002
Sphingomonas sp. FARSPH	2219696	S	1	0	1	0.00000
Sphingomonas sp. BT-65	2989821	S	1	0	1	0.00000
Sphingomonas daechungensis	1176646	S	2	0	2	0.00000
Sphingomonas paeninsulae	2319844	S	1	0	1	0.00000
Sphingomonas changnyeongensis	2698679	S	1	0	1	0.00000
Sphingomonas psychrotolerans	1327635	S	1	0	1	0.00000
Sphingobium phenoxybenzoativorans	1592790	S	11	0	11	0.00003
Sphingobium sp. MI1205	407020	S	1	0	1	0.00000
Sphingobium sp. Cam5-1	2789327	S	1	0	1	0.00000
Sphingobium herbicidovorans	76947	S	1	0	1	0.00000
Novosphingobium sp. PP1Y	702113	S	14	0	14	0.00003
Novosphingobium sp. EMRT-2	2571749	S	2	0	2	0.00000
Sphingopyxis sp. OPL5	2486273	S	6	0	6	0.00001
Sphingopyxis lindanitolerans	2054227	S	4	0	4	0.00001
Sphingopyxis granuli	267128	S	1	0	1	0.00000
Parasphingorhabdus halotolerans	2725558	S	1	0	1	0.00000
Qipengyuania sediminis	1532023	S	21	0	21	0.00005
Erythrobacter neustonensis	1112	S	11	0	11	0.00003
Erythrobacter sp. SCSIO 43205	2779361	S	1	0	1	0.00000
Erythrobacter sp. A30-3	2785907	S	1	0	1	0.00000
Croceicoccus sp. Ery5	1703340	S	3	0	3	0.00001
Sphingosinicella sp. BN140058	1892855	S	6	0	6	0.00001
Polymorphobacter megasporae	2835787	S	1	0	1	0.00000
Zymomonas mobilis	542	S	3	0	3	0.00001
Azospirillum thiophilum	528244	S	16	0	16	0.00004
Azospirillum ramasamyi	682998	S	4	0	4	0.00001
Nitrospirillum amazonense	28077	S	2	0	2	0.00000
Tistrella mobilis	171437	S	7	0	7	0.00002
Pararhodospirillum photometricum	1084	S	7	0	7	0.00002
Magnetospirillum gryphiswaldense	55518	S	2	0	2	0.00000
Magnetospirillum sp. XM-1	1663591	S	1	0	1	0.00000
Thalassospira sp. GO-4	2946605	S	9	0	9	0.00002
Thalassospira indica	1891279	S	8	0	8	0.00002
Komagataeibacter rhaeticus	215221	S	2	0	2	0.00000
Komagataeibacter europaeus	33995	S	1	0	1	0.00000
Caulobacter segnis	88688	S	27	0	27	0.00006
Caulobacter sp. S6	2823693	S	4	0	4	0.00001
Brevundimonas naejangsanensis	588932	S	9	0	9	0.00002
Brevundimonas sp. AJA228-03	2752515	S	1	0	1	0.00000
Brevundimonas pondensis	2774189	S	1	0	1	0.00000
Phenylobacterium zucineum	284016	S	7	0	7	0.00002
Asticcacaulis excentricus	78587	S	4	0	4	0.00001
Hyphomonas neptunium	81032	S	25	0	25	0.00006
Maricaulis maris	74318	S	1	0	1	0.00000
Burkholderia dolosa	152500	S	19	0	19	0.00005
Burkholderia pyrrocinia	60550	S	14	0	14	0.00003
Burkholderia multivorans	87883	S	10	0	10	0.00002
Burkholderia cenocepacia	95486	S	6	0	6	0.00001
Burkholderia sp. JP2-270	2217913	S	1	0	1	0.00000
Burkholderia gladioli	28095	S	21	0	21	0.00005
Burkholderia perseverans	2615214	S	16	0	16	0.00004
Burkholderia plantarii	41899	S	15	0	15	0.00004
Ralstonia solanacearum	305	S	33	0	33	0.00008
Cupriavidus taiwanensis	164546	S	16	0	16	0.00004
Cupriavidus campinensis	151783	S	9	0	9	0.00002
Cupriavidus oxalaticus	96344	S	3	0	3	0.00001
Cupriavidus pauculus	82633	S	1	0	1	0.00000
Paraburkholderia caffeinilytica	1761016	S	15	0	15	0.00004
Paraburkholderia caribensis	75105	S	12	0	12	0.00003
Paraburkholderia fungorum	134537	S	2	0	2	0.00000
Paraburkholderia dokdonella	2211211	S	2	0	2	0.00000
Paraburkholderia acidisoli	2571748	S	1	0	1	0.00000
Paraburkholderia hospita	169430	S	1	0	1	0.00000
Paraburkholderia acidiphila	2571747	S	1	0	1	0.00000
Paraburkholderia ginsengisoli	311231	S	1	0	1	0.00000
Paraburkholderia sprentiae	948107	S	1	0	1	0.00000
Pandoraea sp. XY-2	2518599	S	10	0	10	0.00002
Pandoraea commovens	2508289	S	9	0	9	0.00002
Pandoraea apista	93218	S	8	0	8	0.00002
Polynucleobacter necessarius	576610	S	1	0	1	0.00000
Polynucleobacter sp. MWH-UH25E	1855616	S	1	0	1	0.00000
Caballeronia sp. M1242	2814653	S	1	0	1	0.00000
Acidovorax sp. KKS102	358220	S	17	0	17	0.00004
Acidovorax sp. 1608163	2478662	S	5	0	5	0.00001
Acidovorax sp. T1	1858609	S	3	0	3	0.00001
Acidovorax carolinensis	553814	S	14	0	14	0.00003
Acidovorax radicis	758826	S	5	0	5	0.00001
Acidovorax monticola	1926868	S	3	0	3	0.00001
Acidovorax avenae	80867	S	1	0	1	0.00000
Acidovorax cattleyae	80868	S	1	0	1	0.00000
Acidovorax antarcticus	2743470	S	1	0	1	0.00000
Variovorax paradoxus	34073	S	24	0	24	0.00006
Variovorax sp. PAMC 28711	1795631	S	1	0	1	0.00000
Variovorax boronicumulans	436515	S	3	0	3	0.00001
Delftia lacustris	558537	S	3	0	3	0.00001
Comamonas thiooxydans	363952	S	4	0	4	0.00001
Comamonas testosteroni	285	S	3	0	3	0.00001
Comamonas aquatica	225991	S	2	0	2	0.00000
Comamonas odontotermitis	379895	S	1	0	1	0.00000
Comamonas serinivorans	1082851	S	1	0	1	0.00000
Hydrogenophaga sp. SL48	2806347	S	4	0	4	0.00001
Hydrogenophaga sp. PBL-H3	434010	S	1	0	1	0.00000
Hydrogenophaga sp. YM1	2806262	S	1	0	1	0.00000
Hydrogenophaga taeniospiralis	65656	S	4	0	4	0.00001
Hydrogenophaga crocea	2716225	S	1	0	1	0.00000
Polaromonas vacuolata	37448	S	7	0	7	0.00002
Polaromonas sp. JS666	296591	S	1	0	1	0.00000
Rhodoferax koreense	1842727	S	3	0	3	0.00001
Rhodoferax antarcticus	81479	S	1	0	1	0.00000
Rhodoferax sp. PAMC 29310	2822760	S	1	0	1	0.00000
Serpentinimonas raichei	1458425	S	1	0	1	0.00000
Serpentinimonas maccroryi	1458426	S	1	0	1	0.00000
Melaminivora sp. SC2-9	2109913	S	2	0	2	0.00000
Ramlibacter tataouinensis	94132	S	1	0	1	0.00000
Verminephrobacter eiseniae	364317	S	1	0	1	0.00000
Achromobacter xylosoxidans	85698	S	29	0	29	0.00007
Achromobacter sp. AONIH1	1758194	S	3	0	3	0.00001
Achromobacter sp. MFA1 R4	1881016	S	3	0	3	0.00001
Achromobacter insolitus	217204	S	1	0	1	0.00000
Castellaniella defragrans	75697	S	23	0	23	0.00006
Bordetella genomosp. 13	463040	S	5	0	5	0.00001
Bordetella trematum	123899	S	1	0	1	0.00000
Janthinobacterium sp. PAMC25594	2861284	S	14	0	14	0.00003
Janthinobacterium sp. 1_2014MBL_MicDiv	1644131	S	12	0	12	0.00003
Janthinobacterium agaricidamnosum	55508	S	19	0	19	0.00005
Janthinobacterium svalbardensis	368607	S	6	0	6	0.00001
Pseudoduganella flava	871742	S	5	0	5	0.00001
Pseudoduganella armeniaca	2072590	S	4	0	4	0.00001
Massilia sp. NP310	2861282	S	1	0	1	0.00000
Herbaspirillum huttiense	863372	S	1	0	1	0.00000
Collimonas fungivorans	158899	S	1	0	1	0.00000
Undibacterium sp. KW1	2058624	S	1	0	1	0.00000
Roseateles depolymerans	76731	S	7	0	7	0.00002
Aquincola tertiaricarbonis	391953	S	3	0	3	0.00001
Rubrivivax gelatinosus	28068	S	2	0	2	0.00000
Inhella inkyongensis	392593	S	2	0	2	0.00000
Aquabacterium olei	1296669	S	5	0	5	0.00001
Paucibacter sp. KCTC 42545	1768242	S	3	0	3	0.00001
Rhizobacter sp. AJA081-3	2753607	S	1	0	1	0.00000
Laribacter hongkongensis	168471	S	84	0	84	0.00020
Chromobacterium violaceum	536	S	5	0	5	0.00001
Chromobacterium sp. Rain0013	2292447	S	1	0	1	0.00000
Iodobacter fluviatilis	537	S	2	0	2	0.00000
Jeongeupia sp. USM3	1906741	S	7	0	7	0.00002
Microvirgula aerodenitrificans	57480	S	3	0	3	0.00001
Vogesella sp. XCS3	2877939	S	3	0	3	0.00001
Aquaspirillum sp. LM1	1938604	S	1	0	1	0.00000
Neisseria gonorrhoeae	485	S	5	0	5	0.00001
Neisseria weixii	1853276	S	4	0	4	0.00001
Neisseria brasiliensis	2666100	S	1	0	1	0.00000
Uruburuella suis	252130	S	1	0	1	0.00000
Niveibacterium microcysteis	2811415	S	21	0	21	0.00005
Aromatoleum pumilum	2067960	S	2	0	2	0.00000
Azoarcus sp. DD4	2027405	S	6	0	6	0.00001
Thauera aromatica	59405	S	1	0	1	0.00000
Thauera sp. MZ1T	85643	S	1	0	1	0.00000
Dechloromonas denitrificans	281362	S	3	0	3	0.00001
Nitrosomonas ureae	44577	S	4	0	4	0.00001
Sulfuriferula plumbiphila	171865	S	2	0	2	0.00000
Methyloversatilis sp. RAC08	1842540	S	1	0	1	0.00000
Pyxidicoccus sp. SCPEA002	2813578	S	11	0	11	0.00003
Sorangium cellulosum	56	S	2	0	2	0.00000
Labilithrix luteola	1391654	S	1	0	1	0.00000
Desulfovibrio desulfuricans	876	S	2	0	2	0.00000
Pseudodesulfovibrio mercurii	641491	S	1	0	1	0.00000
Desulfomicrobium sp. ZS1	2952228	S	1	0	1	0.00000
Syntrophus aciditrophicus	316277	S	3	0	3	0.00001
Persicimonas caeni	2292766	S	2	0	2	0.00000
Syntrophotalea acetylenica	29542	S	1	0	1	0.00000
Desulfoglaeba alkanexedens	361111	S	1	0	1	0.00000
Aliarcobacter cryaerophilus	28198	S	1	0	1	0.00000
Aliarcobacter lanthieri	1355374	S	1	0	1	0.00000
Malaciobacter halophilus	197482	S	1	0	1	0.00000
Malaciobacter marinus	505249	S	1	0	1	0.00000
Arcobacter suis	1278212	S	1	0	1	0.00000
Halarcobacter ebronensis	1462615	S	1	0	1	0.00000
Poseidonibacter parvus	1850254	S	1	0	1	0.00000
Helicobacter cinaedi	213	S	1	0	1	0.00000
Bdellovibrio bacteriovorus	959	S	3	0	3	0.00001
Enterococcus faecium	1352	S	9690	0	9690	0.02324
Enterococcus faecalis	1351	S	34	0	34	0.00008
Enterococcus avium	33945	S	11	0	11	0.00003
Enterococcus durans	53345	S	11	0	11	0.00003
Enterococcus lactis	357441	S	9	0	9	0.00002
Enterococcus hirae	1354	S	9	0	9	0.00002
Enterococcus casseliflavus	37734	S	8	0	8	0.00002
Enterococcus raffinosus	71452	S	7	0	7	0.00002
Enterococcus mundtii	53346	S	5	0	5	0.00001
Enterococcus thailandicus	417368	S	5	0	5	0.00001
Enterococcus sp. DA9	2603296	S	3	0	3	0.00001
Enterococcus sp. FDAARGOS_553	2420313	S	2	0	2	0.00000
Enterococcus cecorum	44008	S	2	0	2	0.00000
Enterococcus rotai	118060	S	2	0	2	0.00000
Enterococcus gilvus	160453	S	2	0	2	0.00000
Enterococcus saigonensis	1805431	S	2	0	2	0.00000
Enterococcus gallinarum	1353	S	1	0	1	0.00000
Enterococcus wangshanyuanii	2005703	S	1	0	1	0.00000
Vagococcus fluvialis	2738	S	1	0	1	0.00000
Pediococcus pentosaceus	1255	S	2	0	2	0.00000
Latilactobacillus sakei	1599	S	2	0	2	0.00000
Lactobacillus jensenii	109790	S	1	0	1	0.00000
Oenococcus oeni	1247	S	1	0	1	0.00000
Weissella koreensis	165096	S	1	0	1	0.00000
Lentilactobacillus buchneri	1581	S	1	0	1	0.00000
Paucilactobacillus oligofermentans	293371	S	1	0	1	0.00000
Companilactobacillus zhachilii	2304606	S	1	0	1	0.00000
Ligilactobacillus murinus	1622	S	1	0	1	0.00000
Streptococcus agalactiae	1311	S	2	0	2	0.00000
Streptococcus suis	1307	S	1	0	1	0.00000
Streptococcus thermophilus	1308	S	1	0	1	0.00000
Streptococcus cristatus	45634	S	1	0	1	0.00000
Carnobacterium maltaromaticum	2751	S	1	0	1	0.00000
Ignavigranum ruoffiae	89093	S	1	0	1	0.00000
Staphylococcus aureus	1280	S	912	303	1215	0.00291
Staphylococcus haemolyticus	1283	S	1	0	1	0.00000
Staphylococcus nepalensis	214473	S	1	0	1	0.00000
Staphylococcus lugdunensis	28035	S	1	0	1	0.00000
Macrococcus sp. IME1552	1898474	S	1	0	1	0.00000
Mammaliicoccus sp. Marseille-Q6498	2962659	S	1	0	1	0.00000
Bacillus cereus	1396	S	1	0	1	0.00000
Bacillus wiedmannii	1890302	S	1	0	1	0.00000
Bacillus smithii	1479	S	1	0	1	0.00000
Bacillus sp. Y1	352858	S	1	0	1	0.00000
Lysinibacillus sp. CD3-6	2892541	S	1	0	1	0.00000
Peribacillus simplex	1478	S	1	0	1	0.00000
Peribacillus frigoritolerans	450367	S	1	0	1	0.00000
Alkalihalobacillus miscanthi	2598861	S	2	0	2	0.00000
Heyndrickxia oleronia	38875	S	2	0	2	0.00000
Halobacillus litoralis	45668	S	1	0	1	0.00000
Halobacillus sp. SSTM10-2	2932258	S	1	0	1	0.00000
Salicibibacter cibarius	2743000	S	1	0	1	0.00000
Gottfriedia acidiceleris	371036	S	1	0	1	0.00000
Gracilibacillus salitolerans	2663022	S	1	0	1	0.00000
Paraliobacillus zengyii	2213194	S	1	0	1	0.00000
Paenibacillus sp. BIHB4019	1870819	S	7	0	7	0.00002
Paenibacillus sp. N3/727	2925845	S	1	0	1	0.00000
Paenibacillus sp. B01	2660554	S	1	0	1	0.00000
Paenibacillus crassostreae	1763538	S	1	0	1	0.00000
Paenibacillus rhizovicinus	2704463	S	1	0	1	0.00000
Paenibacillus barcinonensis	198119	S	1	0	1	0.00000
Paenibacillus konkukensis	2020716	S	1	0	1	0.00000
Brevibacillus brevis	1393	S	4	0	4	0.00001
Planococcus sp. MB-3u-03	2058136	S	1	0	1	0.00000
Solibacillus sp. R5-41	2048654	S	1	0	1	0.00000
Alicyclobacillus sp. TC	2606450	S	1	0	1	0.00000
Gemella haemolysans	1379	S	1	0	1	0.00000
Faecalibacterium sp. I3389	2929493	S	10	0	10	0.00002
Faecalibacterium sp. HTFF	2929491	S	1	0	1	0.00000
Faecalibacterium prausnitzii	853	S	3	0	3	0.00001
Vescimonas coprocola	2714355	S	5	0	5	0.00001
Vescimonas fastidiosa	2714353	S	4	0	4	0.00001
Desulfosporosinus orientis	1563	S	16	0	16	0.00004
Clostridium botulinum	1491	S	2	1	3	0.00001
Clostridium sp. BNL1100	755731	S	1	0	1	0.00000
Clostridium sp. SY8519	1042156	S	1	0	1	0.00000
Clostridium cellulovorans	1493	S	1	0	1	0.00000
Clostridium butyricum	1492	S	1	0	1	0.00000
Clostridium septicum	1504	S	1	0	1	0.00000
Wujia chipingensis	2763670	S	2	0	2	0.00000
Dorea formicigenerans	39486	S	1	0	1	0.00000
Butyrivibrio crossotus	45851	S	1	0	1	0.00000
Terrisporobacter sp. MCA3	2813371	S	1	0	1	0.00000
Clostridioides difficile	1496	S	1	1	2	0.00000
Emergencia timonensis	1776384	S	1	0	1	0.00000
Aminipila terrae	2697030	S	1	0	1	0.00000
Acetobacterium wieringae	52694	S	1	0	1	0.00000
Caldinitratiruptor microaerophilus	671077	S	1	0	1	0.00000
Christensenella sp. Marseille-P3954	2086585	S	1	0	1	0.00000
[Clostridium] innocuum	1522	S	5	0	5	0.00001
[Clostridium] spiroforme	29348	S	1	0	1	0.00000
Erysipelothrix sp. HDW6A	2714928	S	1	0	1	0.00000
Miniphocaeibacter halophilus	2931922	S	1	0	1	0.00000
Mycobacterium avium	1764	S	19	0	19	0.00005
Mycobacterium marseillense	701042	S	1	0	1	0.00000
Mycobacterium koreense	1069220	S	12	0	12	0.00003
Mycobacterium shigaense	722731	S	7	0	7	0.00002
Mycobacterium frederiksbergense	117567	S	6	0	6	0.00001
Mycobacterium sp. SMC-4	2857059	S	2	0	2	0.00000
Mycobacterium ostraviense	2738409	S	1	0	1	0.00000
Mycobacterium grossiae	1552759	S	1	0	1	0.00000
Mycobacterium paragordonae	1389713	S	1	0	1	0.00000
Mycolicibacter sp. MYC340	2855503	S	11	0	11	0.00003
Mycolicibacter sp. MYC123	2855502	S	4	0	4	0.00001
Mycolicibacter minnesotensis	1118379	S	1	0	1	0.00000
Mycolicibacterium austroafricanum	39687	S	16	0	16	0.00004
Mycolicibacterium sp. YH-1	2908837	S	1	0	1	0.00000
Mycolicibacterium chubuense	1800	S	1	0	1	0.00000
Mycolicibacterium duvalii	39688	S	1	0	1	0.00000
Mycobacteroides abscessus	36809	S	14	0	14	0.00003
Nocardia asteroides	1824	S	13	0	13	0.00003
Nocardia nova	37330	S	10	0	10	0.00002
Nocardia farcinica	37329	S	3	0	3	0.00001
Nocardia cyriacigeorgica	135487	S	1	0	1	0.00000
Rhodococcus sp. MTM3W5.2	1805827	S	12	0	12	0.00003
Rhodococcus pseudokoreensis	2811421	S	11	0	11	0.00003
Rhodococcus triatomae	300028	S	1	0	1	0.00000
Rhodococcus qingshengii	334542	S	1	0	1	0.00000
Prescottella equi	43767	S	1	0	1	0.00000
Gordonia jinghuaiqii	2758710	S	25	0	25	0.00006
Gordonia polyisoprenivorans	84595	S	3	0	3	0.00001
Tomitella gaofuii	2760083	S	6	0	6	0.00001
Corynebacterium aquilae	203263	S	1	0	1	0.00000
Streptomyces sp. Z423-1	2730915	S	18	0	18	0.00004
Streptomyces sp. CB01881	2078691	S	13	0	13	0.00003
Streptomyces sp. S8	1837283	S	11	0	11	0.00003
Streptomyces sp. 891-h	2720714	S	8	0	8	0.00002
Streptomyces sp. ICC1	2099583	S	6	0	6	0.00001
Streptomyces sp. ICC4	2099584	S	3	0	3	0.00001
Streptomyces sp. AgN23	1188315	S	2	0	2	0.00000
Streptomyces sp. CB09001	2083284	S	2	0	2	0.00000
Streptomyces sp. P3	2135430	S	1	0	1	0.00000
Streptomyces sp. endophyte_N2	2153485	S	1	0	1	0.00000
Streptomyces sp. NHF165	2175864	S	1	0	1	0.00000
Streptomyces sp. CB04723	2748873	S	1	0	1	0.00000
Streptomyces sp. YPW6	2840373	S	1	0	1	0.00000
Streptomyces aquilus	2548456	S	9	0	9	0.00002
Streptomyces aurantiacus	47760	S	7	0	7	0.00002
Streptomyces qaidamensis	1783515	S	1	0	1	0.00000
Streptomyces galilaeus	33899	S	7	0	7	0.00002
Streptomyces vinaceusdrappus	67376	S	5	0	5	0.00001
Streptomyces tirandamycinicus	2174846	S	4	0	4	0.00001
Streptomyces lunaelactis	1535768	S	3	0	3	0.00001
Streptomyces tsukubensis	83656	S	3	0	3	0.00001
Streptomyces xinghaiensis	1038928	S	2	0	2	0.00000
Streptomyces huasconensis	1854574	S	2	0	2	0.00000
Streptomyces exfoliatus	1905	S	2	0	2	0.00000
Streptomyces armeniacus	83291	S	2	0	2	0.00000
Streptomyces thermocarboxydus	59299	S	2	0	2	0.00000
Streptomyces cavourensis	67258	S	1	0	1	0.00000
Streptomyces microflavus	1919	S	1	0	1	0.00000
Streptomyces griseocarneus	51201	S	1	0	1	0.00000
Streptomyces chartreusis	1969	S	1	0	1	0.00000
Streptomyces pactum	68249	S	1	0	1	0.00000
Streptomyces roseochromogenus	285450	S	1	0	1	0.00000
Streptomyces liliifuscus	2797636	S	1	0	1	0.00000
Streptantibioticus cattleyicolor	29303	S	9	0	9	0.00002
Kitasatospora albolonga	68173	S	5	0	5	0.00001
Peterkaempfera bronchialis	2126346	S	3	0	3	0.00001
Janibacter limosus	53458	S	7	0	7	0.00002
Janibacter indicus	857417	S	3	0	3	0.00001
Janibacter sp. CX7	2963431	S	2	0	2	0.00000
Janibacter sp. YB324	2761047	S	1	0	1	0.00000
Janibacter melonis	262209	S	1	0	1	0.00000
Microbacterium liquefaciens	33918	S	1	0	1	0.00000
Microbacterium terricola	344163	S	1	0	1	0.00000
Microbacterium foliorum	104336	S	1	0	1	0.00000
Microbacterium resistens	156977	S	1	0	1	0.00000
Curtobacterium sp. Csp2	2495430	S	2	0	2	0.00000
Frondihabitans sp. 762G35	1446794	S	2	0	2	0.00000
Agromyces sp. LHK192	2498704	S	1	0	1	0.00000
Cnuibacter physcomitrellae	1619308	S	1	0	1	0.00000
Arthrobacter sp. zg-Y462	2886936	S	4	0	4	0.00001
Arthrobacter sp. NicSoilC5	2831000	S	3	0	3	0.00001
Arthrobacter sp. PM3	2017685	S	1	0	1	0.00000
Pseudarthrobacter equi	728066	S	1	0	1	0.00000
Cellulomonas sp. NS3	2973977	S	2	0	2	0.00000
Cellulomonas sp. JZ18	2654191	S	1	0	1	0.00000
Luteimicrobium xylanilyticum	1133546	S	3	0	3	0.00001
Brachybacterium sp. P6-10-X1	1903186	S	1	0	1	0.00000
Brachybacterium halotolerans	2795215	S	1	0	1	0.00000
Serinicoccus marinus	247333	S	1	0	1	0.00000
Micromonospora sp. WMMA2032	2039870	S	10	0	10	0.00002
Micromonospora sp. HM134	2583243	S	5	0	5	0.00001
Actinoplanes friuliensis	196914	S	2	0	2	0.00000
Actinoplanes derwentensis	113562	S	1	0	1	0.00000
Nocardioides piscis	2714938	S	6	0	6	0.00001
Nocardioides sp. CF8	110319	S	3	0	3	0.00001
Nocardioides sp. W7	2931390	S	1	0	1	0.00000
Marmoricola scoriae	642780	S	8	0	8	0.00002
Kribbella flavida	182640	S	2	0	2	0.00000
Jiangella alkaliphila	419479	S	16	0	16	0.00004
Actinomyces procaprae	2560010	S	12	0	12	0.00003
Actinomyces marmotae	2737173	S	3	0	3	0.00001
Amycolatopsis sp. CA-230715	2745196	S	2	0	2	0.00000
Amycolatopsis sp. FU40	2914159	S	2	0	2	0.00000
Amycolatopsis sp. DSM 110486	2865832	S	1	0	1	0.00000
Amycolatopsis methanolica	1814	S	1	0	1	0.00000
Epidermidibacterium keratini	1891644	S	7	0	7	0.00002
Actinomadura sp. WMMA1423	2591108	S	1	0	1	0.00000
Actinomadura graeca	2750812	S	1	0	1	0.00000
Nonomuraea gerenzanensis	93944	S	1	0	1	0.00000
Thermobifida fusca	2021	S	1	0	1	0.00000
Frankia sp. ArI3	1858	S	4	0	4	0.00001
Modestobacter sp. L9-4	2851567	S	2	0	2	0.00000
Modestobacter marinus	477641	S	1	0	1	0.00000
Bifidobacterium scardovii	158787	S	1	0	1	0.00000
Thermophilibacter immobilis	2779519	S	1	0	1	0.00000
Synechococcus sp. PCC 7502	1173263	S	8	0	8	0.00002
Synechococcus sp. CC9311	64471	S	1	0	1	0.00000
Synechococcus sp. PCC 7336	195250	S	1	0	1	0.00000
Moorena producens	1155739	S	5	0	5	0.00001
[Phormidium] sp. ETS-05	222819	S	1	0	1	0.00000
Gloeothece citriformis	2546356	S	1	0	1	0.00000
Geminocystis sp. NIES-3708	1615909	S	1	0	1	0.00000
Nodularia spumigena	70799	S	1	0	1	0.00000
Nostoc flagelliforme	1306274	S	1	0	1	0.00000
Leptolyngbya sp. 7M	2812896	S	1	0	1	0.00000
Mycoplasmopsis fermentans	2115	S	3	0	3	0.00001
Mycoplasma tullyi	1612150	S	1	0	1	0.00000
Mycoplasma mycoides	2102	S	1	0	1	0.00000
Spiroplasma turonicum	216946	S	2	0	2	0.00000
Spiroplasma tabanidicola	324079	S	1	0	1	0.00000
Candidatus Phytoplasma mali	37692	S	1	0	1	0.00000
Haploplasma axanthum	29552	S	1	0	1	0.00000
Metamycoplasma canadense	29554	S	1	0	1	0.00000
Metamycoplasma anseris	92400	S	1	0	1	0.00000
Deinococcus sp. QL22	2939437	S	1	0	1	0.00000
Hymenobacter qilianensis	1385715	S	77	0	77	0.00018
Hymenobacter sp. 5413J-13	2932251	S	7	0	7	0.00002
Hymenobacter sp. DG01	2584940	S	1	0	1	0.00000
Fibrella aestuarina	651143	S	1	0	1	0.00000
Fibrella sp. ES10-3-2-2	1834519	S	1	0	1	0.00000
Dyadobacter sp. NIV53	2861765	S	1	0	1	0.00000
Spirosoma sp. CJU-R4	2728024	S	1	0	1	0.00000
Marivirga tractuosa	1006	S	1	0	1	0.00000
Bacteroides thetaiotaomicron	818	S	15	0	15	0.00004
Bacteroides fragilis	817	S	12	0	12	0.00003
Bacteroides sp. DH3716P	2847299	S	4	0	4	0.00001
Bacteroides sp. M10	2763022	S	2	0	2	0.00000
Bacteroides salyersiae	291644	S	4	0	4	0.00001
Bacteroides ovatus	28116	S	2	0	2	0.00000
Bacteroides uniformis	820	S	1	0	1	0.00000
Bacteroides caccae	47678	S	1	0	1	0.00000
Bacteroides caecimuris	1796613	S	1	0	1	0.00000
Phocaeicola dorei	357276	S	3	0	3	0.00001
Phocaeicola vulgatus	821	S	2	0	2	0.00000
Alistipes shahii	328814	S	5	0	5	0.00001
Alistipes communis	2585118	S	2	0	2	0.00000
Parabacteroides faecis	1217282	S	1	0	1	0.00000
Flavobacterium sp. N502536	2986837	S	2	0	2	0.00000
Flavobacterium sp. F-29	2893883	S	1	0	1	0.00000
Flavobacterium sp. F-70	2893884	S	1	0	1	0.00000
Flavobacterium sp. CECT 9288	2845819	S	1	0	1	0.00000
Flavobacterium sp. N2270	2986831	S	1	0	1	0.00000
Flavobacterium columnare	996	S	5	2	7	0.00002
